ID,Title,Location,Salary,Summary
3e80435be74cd28f,블록체인인터넷경제연구센터 위촉연구원,광주과학기술원 광주 북구,,업무) 지원자격 연구직 O명 블록체인 연구 및 프로그래밍 제작 1) SW프로그래밍 제작 경험자 2) Python/C/Java/Go 프로그래밍 가능자 3) 블록체인 개발 경험자 우대 4) 컴퓨터공학 및 컴퓨터사이...
1888ee91da93366d,Chief Technology Officer,Asiance 서울,,"mainly. • 배포는 주로 Docker 사용. • Python, Node.js, Java, PHP for backend development. • Python, Node.js, Java, PHP 등을 사용하여 백엔드..."
4e350a007111d659,ESS Technical Consultant,Appier 서울,,"Hands... has solid experience in Javascripts/ Python/SQL, or NOSQL databases with minimal support. Self-motivated..."
c57c609184e44c79,전장 SW 설계,에이치알 코리아 대한민국,,바이스 드라이버 및 boot code개발 경험 - CAN 및 이더넷 프로토콜 개발 경험 - C/C++/ Python언어 전문지식 보유 - A-SPICE 개발 프로세스 및 AUTOSAR 소프트웨어 플랫폼 적용 경험 - Lidar...
3f7d27508b5fb825,[신규프로젝트] 시니어 클라이언트 프로그래머 모집,엔씨소프트 2.7 성남 판교역,,적화 지원자격 학력 : 무관 경력기간 : 6년 ~ 필수조건 - 기본 프로그래밍 스킬 (C++ / C# / Python 등) - 자료구조 및 알고리즘에 대한 이해와 활용 능력 우대사항 - Unity3D 개발 및 상용화 경험...
f4750c486cc78516,Application Engineer Consultant - HAV,Mentor Graphics (Korea) LLC 4.0 경기도 성남,,"Proficient in scripting languages used today (e.g., Perl, Python, various shell scripts/Makefiles, XML, JSON, etc.) Industry..."
27d9e11d9be4ec2b,Analytics Engineer,Success Korea 서울 삼성동,,"경험 - 프로그래밍 언어 중 2가지 이상 능숙하게 사용(R, Scala, Python, Java) - Deep Learning 알고리즘 개발 및 활용... 이상 능숙하게 사용(R, Scala, Python, Java) - Deep..."
7b7ce79c1063c703,대기업계열 화학사 DT전략수립 및 분석 (대리급),에이치알 코리아 대한민국,,"과제 수행, 분석 시스템 구축/운영 경험 - DW 관련업무 수행 경험 - 데이터 분석 전략 수립 경험 - Python. R 등 활용 경험 - 국내 제조/화학 대기업 Big Data 분석 경험자 - 머신러닝 및 딥러닝를 이해하..."
81d30a318738da23,"Principal, Back-end Engineering (Seller...",Coupang 3.0 서울,,Expert with one or more programming language... Java/ Python/Scala Understanding of architectural principles and design...
5ecb57c806c47aa0,머신러닝,Success Korea 서울 선릉역,,"회사소개 IT솔루션 업무내용/자격요건 자격요건 - 분야별 ML/DL 전문지식과 프로젝트 경험 - Python, R, Java 언어 중 1개 이상 사용 가능 - Caffe/Tensorflow/Torch/PyTorch에..."
64edfbfd65a20197,자율주행로봇 S/W 개발자,㈜퓨처로봇 성남 분당구,,AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>소프트웨어·하드웨어>LiDAR|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신...
26cc815d5498f436,머신러닝기반 데이터분석[1차],Success Korea 서울 선릉역,,"대졸 이상 - 통계학, 수학, 산업공학, 컴퓨터공학 전공 - R 또는 Python 사용경험 보유 [우대사항] - 석사/박사 학위 소지자 - 머신러닝... 공학, 컴퓨터공학 전공 - R 또는 Python 사용경험 보유 [우대사항..."
a25c504ff473f758,스팸 및 어뷰징 분석/대응 시스템 개발자 모집,카카오 4.0 성남 판교역,,"개발 콘텐츠 모니터링을 위한 웹 어플리케이션 개발 지원자격 [기본사항] java (kotlin), python, scala 중 하나 이상 익숙하신 분 입사 후 최초 6개월 동안 제주 근무 가능하신 분 (제주 근무 기간..."
1507c71b18b36a92,데이터 과학자(Data Scientist),Success Korea 서울 선릉역,,"대한 통찰을 바탕으로 차세대 신용평가 모델 연구를 이끌어 주실 분 - Python, R, Java 중 한 가지 이상 언어를 사용하여 데이터 분석이 가능... 모델 연구를 이끌어 주실 분 - Python, R, Java 중 한 가지..."
